Hartsfield Jackson Atlanta International Airport,ATL,915.0
Chicago O'Hare International Airport,ORD,558.0
Beijing Capital International Airport,PEK,531.0
London Heathrow Airport,LHR,525.0
Charles de Gaulle International Airport,CDG,524.0
Frankfurt am Main Airport,FRA,497.0
Los Angeles International Airport,LAX,489.0
Dallas Fort Worth International Airport,DFW,469.0
John F Kennedy International Airport,JFK,456.0
Amsterdam Airport Schiphol,AMS,453.0
Shanghai Pudong International Airport,PVG,407.0
Singapore Changi Airport,SIN,405.0
Barcelona International Airport,BCN,391.0
Miami International Airport,MIA,368.0
Incheon International Airport,ICN,368.0
Munich Airport,MUC,368.0
Denver International Airport,DEN,360.0
London Gatwick Airport,LGW,356.0
Hong Kong International Airport,HKG,354.0
Atatürk International Airport,ISL,354.0
Dubai International Airport,DXB,350.0
Guangzhou Baiyun International Airport,CAN,333.0
Leonardo da Vinci–Fiumicino Airport,FCO,331.0
Adolfo Suárez Madrid–Barajas Airport,MAD,330.0
Suvarnabhumi Airport,BKK,325.0
Chengdu Shuangliu International Airport,CTU,323.0
Domodedovo International Airport,DME,322.0
Lester B. Pearson International Airport,YYZ,319.0
Brussels Airport,BRU,316.0
Manchester Airport,MAN,316.0
Vienna International Airport,VIE,308.0
Charlotte Douglas International Airport,CLT,301.0
Philadelphia International Airport,PHL,289.0
Narita International Airport,NRT,286.0
Düsseldorf Airport,DUS,285.0
Xi'an Xianyang International Airport,XIY,282.0
Palma De Mallorca Airport,PMI,271.0
Kunming Changshui International Airport,KMG,271.0
Chongqing Jiangbei International Airport,CKG,268.0
Taiwan Taoyuan International Airport,TPE,263.0
Indira Gandhi International Airport,DEL,259.0
Kuala Lumpur International Airport,KUL,255.0
Newark Liberty International Airport,EWR,253.0
Hangzhou Xiaoshan International Airport,HGH,252.0
Phoenix Sky Harbor International Airport,PHX,250.0
San Francisco International Airport,SFO,249.0
Zürich Airport,ZRH,247.0
McCarran International Airport,LAS,246.0
George Bush Intercontinental Houston Airport,IAH,243.0
Licenciado Benito Juarez International Airport,MEX,242.0
Abu Dhabi International Airport,AUH,239.0
Orlando International Airport,MCO,237.0
Shenzhen Bao'an International Airport,SZX,231.0
Xiamen Gaoqi International Airport,XMN,230.0
Copenhagen Kastrup Airport,CPH,229.0
Chhatrapati Shivaji International Airport,BOM,222.0
Stockholm-Arlanda Airport,ARN,219.0
Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,218.0
Detroit Metropolitan Wayne County Airport,DTW,216.0
Humberto Delgado Airport (Lisbon Portela Airport),LIS,214.0
General Edward Lawrence Logan International Airport,BOS,212.0
Sydney Kingsford Smith International Airport,SYD,208.0
Berlin-Tegel Airport,TXL,208.0
Dublin Airport,DUB,207.0
Málaga Airport,AGP,206.0
Shanghai Hongqiao International Airport,SHA,203.0
Seattle Tacoma International Airport,SEA,201.0
Paris-Orly Airport,ORY,200.0
Sheremetyevo International Airport,SVO,199.0
Eleftherios Venizelos International Airport,ATH,197.0
Ronald Reagan Washington National Airport,DCA,196.0
Washington Dulles International Airport,IAD,196.0
Ninoy Aquino International Airport,MNL,193.0
Guarulhos - Governador André Franco Montoro International Airport,GRU,193.0
King Abdulaziz International Airport,JED,192.0
Malpensa International Airport,MXP,192.0
Changsha Huanghua International Airport,CSX,189.0
Liuting Airport,TAO,188.0
Hamad International Airport,DOH,188.0
Fort Lauderdale Hollywood International Airport,FLL,186.0
Wuhan Tianhe International Airport,WUH,186.0
Soekarno-Hatta International Airport,CGK,185.0
Montreal / Pierre Elliott Trudeau International Airport,YUL,185.0
Pulkovo Airport,LED,183.0
Václav Havel Airport Prague,PRG,180.0
Oslo Lufthavn,OSL,179.0
Zhengzhou Xinzheng International Airport,CGO,174.0
London Stansted Airport,STN,173.0
Geneva Cointrin International Airport,GVA,166.0
Nanjing Lukou Airport,NKG,165.0
Hamburg Airport,HAM,161.0
Tenerife South Airport,TFS,159.0
Helsinki Vantaa Airport,HEL,159.0
Vancouver International Airport,YVR,158.0
OR Tambo International Airport,JNB,158.0
La Guardia Airport,LGA,158.0
Cancún International Airport,CUN,157.0
Alicante International Airport,ALC,157.0
Tokyo Haneda International Airport,HND,157.0
Ürümqi Diwopu International Airport,URC,153.0
Gran Canaria Airport,LPA,153.0
El Dorado International Airport,BOG,152.0
Kansai International Airport,KIX,152.0
Brisbane International Airport,BNE,151.0
Cairo International Airport,CAI,150.0
Tianjin Binhai International Airport,TSN,145.0
Sabiha Gökçen International Airport,SAW,145.0
Baltimore/Washington International Thurgood Marshall Airport,BWI,142.0
Salt Lake City International Airport,SLC,141.0
Chicago Midway International Airport,MDW,139.0
Zhoushuizi Airport,DLC,139.0
Tampa International Airport,TPA,138.0
Stuttgart Airport,STR,137.0
Melbourne International Airport,MEL,137.0
Longdongbao Airport,KWE,137.0
Ben Gurion International Airport,TLV,136.0
Yaoqiang Airport,TNA,135.0
King Khaled International Airport,RUH,135.0
Taoxian Airport,SHE,134.0
Lyon Saint-Exupéry Airport,LYS,134.0
Marseille Provence Airport,MRS,134.0
Nice-Côte d'Azur Airport,NCE,134.0
Cologne Bonn Airport,CGN,134.0
Birmingham International Airport,BHX,133.0
Fuzhou Changle International Airport,FOC,133.0
Jomo Kenyatta International Airport,NBO,130.0
Taiping Airport,HRB,129.0
Antalya International Airport,AYT,127.0
Mohammed V International Airport,CMN,124.0
Louis Armstrong New Orleans International Airport,MSY,123.0
Venice Marco Polo Airport,VCE,122.0
Warsaw Chopin Airport,WAW,120.0
San Diego International Airport,SAN,119.0
Kuwait International Airport,KWI,119.0
Edinburgh Airport,EDI,119.0
Daniel K Inouye International Airport,HNL,118.0
Lanzarote Airport,ACE,116.0
Catania-Fontanarossa Airport,CTA,115.0
Calgary International Airport,YYC,115.0
Nanning Wuxu Airport,NNG,114.0
Jorge Chávez International Airport,LIM,114.0
St Louis Lambert International Airport,STL,114.0
Portland International Airport,PDX,113.0
Malta International Airport,MLA,113.0
Henri Coandă International Airport,OTP,112.0
Heraklion International Nikos Kazantzakis Airport,HER,110.0
Sanya Phoenix International Airport,SYX,109.0
Taiyuan Wusu Airport,TYN,109.0
London Luton Airport,LTN,108.0
Tan Son Nhat International Airport,SGN,108.0
Haikou Meilan International Airport,HAK,108.0
Queen Alia International Airport,AMM,108.0
Guilin Liangjiang International Airport,KWL,107.0
Tocumen International Airport,PTY,106.0
Faro Airport,FAO,106.0
Addis Ababa Bole International Airport,ADD,104.0
Luis Munoz Marin International Airport,SJU,102.0
Boryspil International Airport,KBP,102.0
Muscat International Airport,MCT,102.0
Bandaranaike International Colombo Airport,CMB,101.0
Chennai International Airport,MAA,101.0
Riga International Airport,RIX,101.0
Francisco de Sá Carneiro Airport,OPO,100.0
Ngurah Rai (Bali) International Airport,DPS,100.0
Bristol Airport,BRS,100.0
Glasgow International Airport,GLA,100.0
Ibiza Airport,IBZ,99.0
Budapest Liszt Ferenc International Airport,BUD,98.0
Rio Galeão – Tom Jobim International Airport,GIG,98.0
Presidente Juscelino Kubistschek International Airport,BSB,98.0
Fuerteventura Airport,FUE,97.0
Koltsovo Airport,SVX,97.0
Auckland International Airport,AKL,96.0
EuroAirport Basel-Mulhouse-Freiburg Airport,BSL,95.0
Sharjah International Airport,SHJ,95.0
East Midlands Airport,EMA,95.0
Netaji Subhash Chandra Bose International Airport,CCU,94.0
