name,icao,score
Hartsfield Jackson Atlanta International Airport,KATL,29.536791458876174
Chicago O'Hare International Airport,KORD,18.630260874523778
Los Angeles International Airport,KLAX,17.83335122371791
Dallas Fort Worth International Airport,KDFW,17.14907666730445
Charles de Gaulle International Airport,LFPG,15.557675135292191
London Heathrow Airport,EGLL,15.47036176786689
Singapore Changi Airport,WSSS,15.177840541625907
Denver International Airport,KDEN,15.034139013591712
Beijing Capital International Airport,ZBAA,14.949720618964225
Frankfurt am Main Airport,EDDF,14.188203938731185
John F Kennedy International Airport,KJFK,14.036966603583306
Domodedovo International Airport,UUDD,13.772658125174244
Amsterdam Airport Schiphol,EHAM,13.06301485365388
Miami International Airport,KMIA,13.052886193116608
Sydney Kingsford Smith International Airport,YSSY,12.992126797225456
Atatürk International Airport,LTBA,12.735393862069579
Dubai International Airport,OMDB,12.228774157384905
Shanghai Pudong International Airport,ZSPD,11.577611963169515
Suvarnabhumi Airport,VTBS,11.521088947723683
Incheon International Airport,RKSI,11.49755484619952
Lester B. Pearson International Airport,CYYZ,11.281698061498965
Hong Kong International Airport,VHHH,11.000890322155259
Barcelona International Airport,LEBL,10.9428025440826
El Dorado International Airport,SKBO,10.674952877235937
Licenciado Benito Juarez International Airport,MMMX,10.33614671687081
Indira Gandhi International Airport,VIDP,10.27209455811036
Brisbane International Airport,YBBN,10.136693922626703
Adolfo Suárez Madrid–Barajas Airport,LEMD,10.039425576083007
Charlotte Douglas International Airport,KCLT,9.985741846906286
Munich Airport,EDDM,9.786390316243239
Guarulhos - Governador André Franco Montoro International Airport,SBGR,9.657037911087311
Ninoy Aquino International Airport,RPLL,9.645367237017691
Kuala Lumpur International Airport,WMKK,9.478138110824855
London Gatwick Airport,EGKK,9.443536945950449
Narita International Airport,RJAA,9.363146273228635
OR Tambo International Airport,FAOR,9.34928850694081
Leonardo da Vinci–Fiumicino Airport,LIRF,9.179293340899573
Brussels Airport,EBBR,9.149737087695474
Philadelphia International Airport,KPHL,9.145662460513876
Guangzhou Baiyun International Airport,ZGGG,8.986850666813636
Chhatrapati Shivaji International Airport,VABB,8.717973013886912
McCarran International Airport,KLAS,8.594467280186844
George Bush Intercontinental Houston Airport,KIAH,8.562912997777497
Phoenix Sky Harbor International Airport,KPHX,8.48817392555651
Vienna International Airport,LOWW,8.366227846448139
Chengdu Shuangliu International Airport,ZUUU,8.321411683815468
Auckland International Airport,NZAA,8.31745891578055
San Francisco International Airport,KSFO,8.303878883523938
Manchester Airport,EGCC,8.241362536321951
Ted Stevens Anchorage International Airport,PANC,8.23279120823577
Stockholm-Arlanda Airport,ESSA,8.221943780868004
Jorge Newbery Airpark,SABE,8.203172059446885
Soekarno-Hatta International Airport,WIII,8.13358197596926
